,MasVnrType,BsmtQual,BsmtCond,BsmtExposure,BsmtFinType1,BsmtFinType2,Electrical,FireplaceQu,GarageType,GarageFinish,GarageQual,GarageCond
604,BrkFace,Gd,TA,Mn,GLQ,Unf,SBrkr,TA,Attchd,RFn,TA,TA
605,BrkFace,TA,TA,No,BLQ,Unf,SBrkr,Fa,Attchd,Unf,TA,TA
606,None,Gd,TA,No,GLQ,Unf,SBrkr,,Detchd,Unf,TA,TA
607,None,TA,Gd,No,GLQ,Unf,SBrkr,,Attchd,Unf,TA,TA
608,None,Gd,TA,Mn,BLQ,Unf,SBrkr,Gd,Basment,Unf,TA,TA
609,BrkCmn,TA,TA,Mn,Rec,Unf,SBrkr,,Attchd,Unf,TA,TA
610,BrkFace,Ex,TA,Mn,GLQ,Unf,SBrkr,Ex,Attchd,Fin,TA,TA
611,BrkFace,Gd,TA,Av,ALQ,Unf,SBrkr,TA,Attchd,Unf,TA,TA
612,BrkFace,Gd,TA,Av,GLQ,Unf,SBrkr,TA,BuiltIn,RFn,TA,TA
613,None,Gd,TA,No,ALQ,Unf,SBrkr,,,,,
614,None,Gd,TA,Av,LwQ,GLQ,SBrkr,,,,,
615,BrkFace,TA,TA,Gd,GLQ,Unf,SBrkr,,Attchd,RFn,TA,TA
616,None,Gd,TA,No,GLQ,Unf,SBrkr,Gd,Attchd,Fin,TA,TA
617,None,TA,TA,No,Unf,Unf,SBrkr,,Detchd,Unf,TA,TA
618,BrkFace,Ex,TA,Av,GLQ,Unf,SBrkr,Gd,Attchd,Unf,TA,TA
619,Stone,Gd,TA,Gd,GLQ,Unf,SBrkr,Gd,Attchd,Fin,TA,TA
620,None,TA,TA,No,BLQ,Unf,FuseF,,,,,
621,None,TA,TA,No,ALQ,Rec,SBrkr,TA,Attchd,RFn,TA,TA
622,BrkFace,TA,TA,No,BLQ,Unf,SBrkr,,Detchd,Unf,TA,TA
623,BrkFace,Gd,TA,No,GLQ,Unf,SBrkr,TA,Detchd,Unf,TA,TA
624,None,TA,TA,No,Rec,Unf,SBrkr,TA,Attchd,RFn,TA,TA
625,BrkFace,TA,TA,No,Unf,Unf,SBrkr,,Attchd,Unf,TA,TA
626,None,TA,TA,No,Unf,Unf,SBrkr,TA,Attchd,RFn,TA,TA
627,BrkFace,TA,TA,Av,BLQ,LwQ,SBrkr,Gd,Basment,RFn,TA,TA
628,BrkFace,Gd,TA,Av,Rec,Unf,SBrkr,TA,Attchd,Unf,TA,TA
629,BrkFace,TA,TA,Gd,GLQ,Rec,SBrkr,,Attchd,RFn,TA,TA
630,None,Fa,Fa,No,Unf,Unf,FuseA,,Detchd,Unf,Fa,Po
631,Stone,Gd,Gd,Mn,GLQ,Unf,SBrkr,Gd,Attchd,RFn,TA,TA
632,BrkFace,TA,TA,No,ALQ,Unf,SBrkr,TA,Attchd,Fin,TA,TA
633,None,TA,TA,No,BLQ,LwQ,SBrkr,,Attchd,Unf,TA,TA
634,None,TA,TA,No,GLQ,Unf,SBrkr,,Detchd,Unf,TA,TA
635,None,TA,Fa,No,LwQ,Unf,FuseA,,,,,
636,None,TA,Fa,No,Unf,Unf,FuseA,Po,,,,
637,None,TA,TA,No,Unf,Unf,FuseA,,BuiltIn,Unf,TA,TA
638,None,Fa,TA,No,Unf,Unf,FuseA,,,,,
639,None,Gd,Gd,Av,GLQ,Unf,SBrkr,Gd,Attchd,Fin,TA,TA
640,BrkFace,Ex,TA,Gd,GLQ,Unf,SBrkr,Gd,Attchd,RFn,TA,TA
641,None,Gd,TA,No,GLQ,Unf,SBrkr,TA,Attchd,Fin,TA,TA
642,None,Gd,TA,Gd,GLQ,Unf,SBrkr,TA,Attchd,Fin,TA,TA
643,BrkFace,TA,TA,No,Rec,BLQ,SBrkr,,Attchd,Fin,TA,TA
644,Stone,Ex,TA,Mn,GLQ,Unf,SBrkr,Gd,Attchd,Fin,TA,TA
645,None,TA,TA,No,ALQ,LwQ,SBrkr,,Detchd,Unf,TA,TA
646,None,,,,,,SBrkr,,Detchd,Unf,TA,TA
647,Stone,TA,TA,Mn,Rec,Unf,SBrkr,Gd,Attchd,RFn,TA,TA
648,BrkFace,TA,TA,No,Unf,Unf,SBrkr,TA,Attchd,Unf,TA,TA
649,None,Gd,TA,Av,BLQ,GLQ,SBrkr,,,,,
650,,Gd,TA,No,Unf,Unf,SBrkr,,Attchd,RFn,TA,TA
651,None,TA,TA,Mn,Unf,Unf,SBrkr,Gd,Detchd,Unf,Fa,Po
652,None,Gd,TA,No,Unf,Unf,SBrkr,TA,Attchd,RFn,TA,TA
653,None,TA,TA,No,Unf,Unf,SBrkr,,Detchd,Unf,TA,TA
654,BrkFace,Gd,TA,Gd,GLQ,Unf,SBrkr,TA,Attchd,Fin,TA,TA
655,BrkFace,TA,TA,No,Unf,Unf,SBrkr,,Detchd,Unf,TA,TA
656,BrkFace,TA,TA,No,ALQ,Unf,SBrkr,,Attchd,RFn,TA,TA
657,None,Gd,TA,No,Unf,Unf,SBrkr,Gd,Attchd,RFn,TA,TA
658,None,TA,TA,No,Unf,Unf,SBrkr,Gd,Attchd,Unf,TA,TA
659,None,TA,TA,No,BLQ,Unf,SBrkr,,Detchd,Fin,TA,TA
660,BrkFace,Gd,TA,No,Unf,Unf,SBrkr,TA,Attchd,RFn,TA,TA
661,BrkFace,Gd,Gd,No,GLQ,Rec,SBrkr,TA,Attchd,RFn,TA,TA
662,BrkFace,Fa,Fa,No,Unf,Unf,SBrkr,TA,Attchd,RFn,TA,TA
663,None,Gd,TA,Av,BLQ,Rec,SBrkr,,Detchd,RFn,TA,TA
664,None,Ex,TA,Mn,GLQ,Unf,SBrkr,Ex,Attchd,Fin,TA,TA
665,BrkFace,Gd,TA,No,Unf,Unf,SBrkr,TA,Attchd,RFn,TA,TA
666,BrkCmn,Gd,TA,No,LwQ,Rec,SBrkr,Po,CarPort,Unf,TA,TA
667,BrkFace,Gd,TA,No,GLQ,Unf,SBrkr,Fa,Attchd,RFn,TA,TA
668,None,TA,TA,No,Rec,Unf,SBrkr,TA,Detchd,Unf,TA,TA
669,None,Fa,TA,No,Unf,Unf,SBrkr,Gd,Detchd,Unf,TA,Fa
670,None,Gd,TA,No,GLQ,Unf,SBrkr,,Attchd,Fin,TA,TA
671,None,TA,TA,No,BLQ,Unf,SBrkr,,Detchd,Unf,TA,TA
672,None,Gd,TA,No,ALQ,Unf,SBrkr,TA,Attchd,RFn,TA,TA
673,BrkFace,TA,TA,No,GLQ,Unf,SBrkr,TA,Attchd,Fin,TA,TA
674,None,TA,TA,No,Rec,Unf,SBrkr,Gd,Attchd,RFn,TA,TA
675,None,TA,TA,No,ALQ,Unf,SBrkr,TA,Attchd,Unf,TA,TA
676,None,TA,Fa,No,Unf,Unf,SBrkr,,2Types,Unf,Fa,Fa
677,None,TA,TA,No,Unf,Unf,SBrkr,,Detchd,Unf,Fa,Fa
678,Stone,Ex,TA,Mn,Unf,Unf,SBrkr,Gd,Attchd,Fin,TA,TA
679,BrkFace,TA,TA,No,Rec,Unf,SBrkr,,Detchd,Unf,TA,TA
680,None,Gd,TA,No,BLQ,BLQ,SBrkr,TA,Attchd,RFn,TA,TA
681,None,TA,TA,No,Rec,Unf,SBrkr,,Detchd,Unf,TA,TA
682,None,Gd,TA,Mn,GLQ,Unf,SBrkr,Gd,Attchd,Unf,TA,TA
683,Stone,Gd,TA,Av,GLQ,Unf,SBrkr,TA,Attchd,Fin,TA,TA
684,BrkFace,Gd,TA,No,Unf,Unf,SBrkr,,Attchd,Fin,TA,TA
685,None,Gd,TA,Mn,GLQ,LwQ,SBrkr,TA,Attchd,Fin,TA,TA
686,None,Gd,TA,No,Unf,Unf,SBrkr,,Attchd,Fin,TA,TA
687,None,Gd,TA,No,GLQ,Unf,SBrkr,,Detchd,Unf,TA,TA
688,BrkFace,Gd,TA,Av,GLQ,Unf,SBrkr,Gd,Attchd,RFn,TA,TA
689,Stone,Gd,TA,Av,ALQ,Unf,SBrkr,Gd,Attchd,RFn,TA,TA
690,BrkFace,Gd,TA,Gd,GLQ,Unf,SBrkr,TA,Attchd,RFn,TA,TA
691,BrkFace,Ex,TA,Gd,GLQ,Unf,SBrkr,Ex,Attchd,Fin,TA,TA
692,BrkFace,Gd,TA,Gd,GLQ,Unf,SBrkr,Gd,Attchd,RFn,TA,TA
693,None,TA,TA,No,Unf,Unf,SBrkr,,Detchd,Unf,TA,TA
694,None,TA,TA,No,Unf,Unf,SBrkr,,Detchd,Unf,TA,TA
695,BrkFace,Gd,Gd,No,GLQ,LwQ,SBrkr,TA,Attchd,Unf,TA,TA
696,None,TA,TA,No,LwQ,Unf,SBrkr,,Detchd,Unf,TA,TA
697,None,Ex,Gd,Mn,LwQ,ALQ,FuseA,,Detchd,Unf,TA,TA
698,None,TA,TA,No,GLQ,BLQ,SBrkr,Gd,Detchd,Unf,TA,TA
699,None,Gd,TA,Mn,GLQ,Unf,SBrkr,,Attchd,RFn,TA,TA
700,BrkFace,Ex,TA,Gd,GLQ,Unf,SBrkr,Gd,Attchd,Fin,TA,TA
701,BrkFace,TA,TA,No,Unf,Unf,SBrkr,,Attchd,Unf,TA,TA
702,BrkFace,Ex,Gd,No,Unf,Unf,SBrkr,Gd,BuiltIn,Fin,TA,TA
703,None,Gd,TA,No,Unf,Unf,SBrkr,Po,Detchd,Unf,TA,TA
704,BrkFace,Gd,TA,Av,GLQ,Unf,SBrkr,,Attchd,RFn,TA,TA
705,None,,,,,,SBrkr,,,,,
706,Stone,Gd,TA,Gd,GLQ,Unf,SBrkr,TA,Attchd,Unf,TA,TA
707,BrkFace,Gd,TA,No,GLQ,Unf,SBrkr,Gd,Attchd,Fin,TA,TA
708,None,Gd,TA,Av,Unf,Unf,SBrkr,Gd,Attchd,Fin,TA,TA
709,BrkCmn,TA,TA,No,Unf,Unf,SBrkr,,Attchd,Unf,TA,TA
710,None,TA,TA,No,Unf,Unf,SBrkr,,,,,
711,None,TA,TA,Mn,Unf,Unf,SBrkr,,Detchd,RFn,TA,TA
712,None,Gd,TA,Mn,GLQ,Unf,SBrkr,Gd,Attchd,Fin,TA,TA
713,BrkFace,TA,TA,Av,ALQ,Unf,SBrkr,,Detchd,Unf,TA,TA
714,BrkFace,TA,TA,No,GLQ,Unf,SBrkr,,Attchd,RFn,TA,TA
715,BrkFace,Gd,TA,No,Unf,Unf,SBrkr,TA,Attchd,RFn,TA,TA
716,None,TA,TA,No,Unf,Unf,SBrkr,,Detchd,Unf,TA,TA
717,None,Gd,TA,No,BLQ,Unf,SBrkr,Fa,Attchd,Unf,TA,TA
718,BrkFace,Gd,TA,Gd,GLQ,Unf,SBrkr,TA,Attchd,RFn,TA,TA
719,None,Gd,TA,Gd,ALQ,Unf,SBrkr,Po,Attchd,Unf,TA,TA
720,None,Gd,TA,Gd,GLQ,Unf,SBrkr,TA,Attchd,RFn,TA,TA
721,BrkFace,Gd,TA,Av,GLQ,Unf,SBrkr,,Attchd,RFn,TA,TA
722,None,TA,TA,No,ALQ,Unf,SBrkr,,Detchd,Unf,TA,TA
723,None,TA,TA,No,Unf,Unf,SBrkr,,Detchd,Unf,TA,TA
724,Stone,Ex,TA,No,GLQ,Unf,SBrkr,Gd,Attchd,Fin,TA,TA
725,None,TA,TA,No,ALQ,BLQ,SBrkr,,Detchd,Unf,TA,TA
726,BrkFace,Gd,TA,No,GLQ,Unf,SBrkr,Gd,Attchd,Fin,TA,TA
727,Stone,Gd,TA,Av,GLQ,Unf,SBrkr,,Attchd,RFn,TA,TA
728,BrkFace,TA,TA,No,Unf,Unf,SBrkr,,Detchd,Unf,TA,TA
729,None,TA,TA,No,BLQ,Unf,FuseA,,Detchd,Unf,TA,TA
730,None,Gd,TA,No,GLQ,Unf,SBrkr,TA,Attchd,RFn,TA,TA
731,BrkFace,Ex,TA,Av,GLQ,Unf,SBrkr,Gd,Attchd,Fin,TA,TA
732,BrkFace,Gd,TA,Av,ALQ,Unf,SBrkr,TA,Attchd,Fin,TA,TA
733,None,TA,TA,No,BLQ,Unf,SBrkr,TA,Attchd,RFn,TA,TA
734,None,TA,TA,No,Unf,Unf,SBrkr,,Attchd,Unf,TA,TA
735,None,Gd,TA,Mn,Rec,Unf,SBrkr,TA,Detchd,Unf,TA,TA
736,None,,,,,,FuseF,,Detchd,Unf,TA,TA
737,None,Gd,TA,No,Unf,Unf,SBrkr,Gd,Attchd,Fin,TA,TA
738,None,Gd,Gd,Gd,GLQ,Unf,SBrkr,,,,,
739,None,Gd,TA,No,Unf,Unf,SBrkr,,Attchd,RFn,TA,TA
740,None,Fa,Fa,No,Unf,Unf,SBrkr,,Detchd,Unf,TA,Gd
741,None,TA,TA,Mn,GLQ,Unf,SBrkr,,Detchd,Unf,TA,TA
742,BrkFace,Gd,TA,No,Unf,Unf,SBrkr,,Attchd,Unf,TA,TA
743,None,Gd,TA,Av,ALQ,Unf,SBrkr,TA,Attchd,RFn,TA,TA
744,None,Gd,TA,No,GLQ,Unf,SBrkr,TA,Attchd,RFn,TA,TA
745,BrkFace,TA,Gd,No,GLQ,ALQ,SBrkr,TA,BuiltIn,Fin,TA,TA
746,None,Gd,TA,No,GLQ,Unf,SBrkr,TA,BuiltIn,Fin,TA,TA
747,None,TA,Fa,No,Unf,Unf,SBrkr,Gd,Detchd,Unf,TA,TA
748,BrkFace,Gd,TA,No,GLQ,Unf,SBrkr,TA,Attchd,Fin,TA,TA
749,None,,,,,,FuseF,,Detchd,Unf,TA,TA
750,None,TA,Fa,No,Unf,Unf,SBrkr,,,,,
751,None,Gd,TA,No,Unf,Unf,SBrkr,,Attchd,Fin,TA,TA
752,None,Gd,TA,Gd,GLQ,Unf,SBrkr,,Attchd,RFn,TA,TA
753,BrkFace,Gd,TA,Mn,Unf,Unf,SBrkr,Gd,Attchd,RFn,TA,TA
754,None,TA,TA,No,GLQ,LwQ,SBrkr,,Detchd,RFn,TA,TA
755,BrkFace,Gd,TA,No,GLQ,Unf,SBrkr,,Detchd,Unf,TA,TA
756,None,Gd,TA,Av,GLQ,Unf,SBrkr,,Attchd,RFn,TA,TA
757,BrkCmn,TA,TA,Mn,Rec,Unf,SBrkr,TA,Attchd,Fin,TA,TA
758,BrkFace,Gd,TA,No,ALQ,Unf,SBrkr,,Detchd,Unf,TA,TA
759,BrkFace,Gd,TA,Av,LwQ,ALQ,SBrkr,TA,Attchd,RFn,TA,TA
760,None,TA,TA,No,Rec,Unf,SBrkr,,Detchd,Unf,Ex,Ex
761,None,TA,TA,Mn,LwQ,Unf,SBrkr,,Detchd,Unf,TA,TA
762,None,Gd,TA,Mn,GLQ,Unf,SBrkr,,Attchd,Unf,TA,TA
763,BrkFace,Gd,TA,Mn,GLQ,Unf,SBrkr,Gd,Attchd,RFn,TA,TA
764,None,Gd,Gd,Av,LwQ,GLQ,SBrkr,Gd,Attchd,Fin,TA,TA
765,Stone,Gd,TA,No,Unf,Unf,SBrkr,Gd,Attchd,Fin,TA,TA
766,BrkFace,Gd,TA,No,GLQ,Unf,SBrkr,TA,Attchd,Unf,TA,TA
767,None,Gd,TA,Mn,ALQ,Unf,SBrkr,,Attchd,Unf,TA,TA
768,None,Gd,TA,No,GLQ,Unf,SBrkr,Gd,Attchd,Fin,TA,TA
769,BrkFace,Gd,TA,Gd,ALQ,Unf,SBrkr,Gd,BuiltIn,Fin,TA,TA
770,None,Gd,TA,Av,GLQ,Unf,SBrkr,,Detchd,Unf,TA,TA
771,None,Fa,Fa,No,LwQ,Unf,FuseF,,Detchd,Unf,TA,TA
772,None,TA,TA,Av,ALQ,BLQ,SBrkr,TA,Detchd,Unf,TA,TA
773,None,TA,TA,No,Rec,Unf,FuseA,,Attchd,RFn,TA,TA
774,BrkFace,Gd,TA,Av,Unf,Unf,SBrkr,Gd,Attchd,Fin,TA,TA
775,BrkFace,Ex,TA,No,GLQ,Unf,SBrkr,,Attchd,Fin,TA,TA
776,BrkFace,Gd,TA,Av,GLQ,Unf,SBrkr,,Attchd,RFn,TA,TA
777,None,TA,TA,No,ALQ,Unf,SBrkr,Fa,Attchd,Unf,TA,TA
778,BrkFace,,,,,,SBrkr,TA,Detchd,Unf,TA,TA
779,BrkFace,Gd,TA,Gd,GLQ,Unf,SBrkr,,Attchd,Unf,TA,TA
780,BrkFace,Gd,Gd,No,Unf,Unf,SBrkr,TA,Attchd,Fin,TA,TA
781,None,Gd,TA,No,ALQ,Unf,SBrkr,,Attchd,RFn,TA,TA
782,None,Gd,TA,No,Unf,Unf,SBrkr,,Attchd,RFn,TA,TA
783,BrkFace,Gd,TA,Av,GLQ,Unf,SBrkr,TA,Attchd,Fin,TA,TA
784,None,TA,TA,No,Unf,Unf,SBrkr,Gd,,,,
785,None,TA,TA,No,Rec,LwQ,SBrkr,Gd,Attchd,Unf,TA,TA
786,None,Fa,TA,No,LwQ,Unf,SBrkr,,Detchd,Unf,TA,TA
787,None,Gd,TA,No,GLQ,Unf,SBrkr,,BuiltIn,RFn,TA,TA
788,None,TA,TA,No,Unf,Unf,SBrkr,,Detchd,Unf,Fa,TA
789,BrkFace,TA,Fa,Gd,LwQ,Unf,SBrkr,,Attchd,Fin,TA,TA
790,BrkFace,Gd,TA,No,GLQ,Unf,SBrkr,Gd,Attchd,Fin,TA,TA
791,None,Gd,TA,Av,ALQ,Unf,SBrkr,TA,Attchd,RFn,TA,TA
792,None,Gd,TA,Av,GLQ,Unf,SBrkr,TA,Attchd,Unf,TA,TA
793,Stone,Gd,TA,Av,Unf,Unf,SBrkr,,Attchd,Fin,TA,TA
794,None,Gd,TA,No,Unf,Unf,SBrkr,TA,Attchd,Fin,TA,TA
795,BrkFace,Gd,TA,No,Unf,Unf,SBrkr,TA,Attchd,Unf,TA,TA
796,BrkFace,TA,TA,No,Unf,Unf,SBrkr,TA,Attchd,RFn,TA,TA
797,None,TA,TA,No,BLQ,Unf,SBrkr,,Attchd,Unf,TA,TA
798,Stone,Ex,TA,No,Unf,Unf,SBrkr,Gd,BuiltIn,Fin,TA,TA
799,BrkFace,Gd,TA,No,ALQ,Unf,SBrkr,TA,Detchd,Unf,TA,TA
800,None,Gd,TA,Gd,GLQ,Unf,SBrkr,,Attchd,RFn,TA,TA
801,None,TA,TA,No,LwQ,Unf,FuseA,,Detchd,Unf,TA,TA
802,None,Gd,TA,Av,GLQ,Unf,SBrkr,Gd,Attchd,Fin,TA,TA
803,Stone,Ex,TA,Gd,Unf,Unf,SBrkr,Gd,BuiltIn,RFn,TA,TA
804,None,TA,TA,No,LwQ,Unf,SBrkr,,Attchd,Unf,TA,TA
805,Stone,Gd,TA,No,Unf,Unf,SBrkr,,Attchd,RFn,TA,TA
806,None,TA,TA,Av,ALQ,Rec,SBrkr,,Attchd,Fin,TA,TA
807,None,TA,TA,Gd,GLQ,Unf,SBrkr,TA,Attchd,RFn,TA,TA
808,BrkFace,TA,TA,Av,ALQ,BLQ,SBrkr,Gd,Attchd,RFn,TA,TA
809,None,TA,TA,No,Unf,Unf,FuseA,,Detchd,Unf,Fa,Po
810,BrkFace,TA,TA,No,ALQ,LwQ,SBrkr,Fa,Attchd,RFn,TA,TA
811,BrkFace,Gd,TA,Gd,GLQ,Unf,SBrkr,Gd,Attchd,Fin,TA,TA
812,None,TA,TA,Av,Unf,Unf,FuseA,,Basment,Unf,TA,TA
813,BrkFace,TA,TA,No,Rec,Unf,SBrkr,,Attchd,RFn,TA,TA
814,None,TA,TA,No,Unf,Unf,SBrkr,,Detchd,Unf,TA,TA
815,BrkFace,Gd,TA,No,Unf,Unf,SBrkr,,Attchd,RFn,TA,TA
816,None,TA,TA,No,BLQ,Unf,SBrkr,Gd,Attchd,RFn,TA,TA
817,BrkFace,Gd,TA,No,GLQ,Unf,SBrkr,Gd,Attchd,RFn,TA,TA
818,BrkFace,TA,TA,Av,GLQ,Unf,SBrkr,,Attchd,Unf,TA,TA
819,Stone,Gd,TA,Mn,GLQ,Unf,SBrkr,Gd,Attchd,RFn,TA,TA
820,None,Gd,TA,No,Unf,Unf,SBrkr,,Attchd,RFn,TA,TA
821,None,Fa,TA,No,Unf,Unf,SBrkr,,Detchd,Unf,TA,TA
822,None,Gd,TA,Gd,Unf,Unf,SBrkr,Gd,BuiltIn,Fin,TA,TA
823,None,TA,TA,No,Unf,Unf,SBrkr,Gd,Detchd,Unf,TA,TA
824,None,Gd,Gd,No,Unf,Unf,SBrkr,Gd,Attchd,RFn,TA,TA
825,BrkFace,Ex,TA,Av,GLQ,Unf,SBrkr,Gd,Attchd,Fin,TA,TA
826,None,TA,TA,No,ALQ,Unf,SBrkr,,,,,
827,None,Gd,TA,No,GLQ,Unf,SBrkr,TA,Attchd,RFn,TA,TA
828,None,TA,Gd,Gd,LwQ,ALQ,SBrkr,,Attchd,Fin,TA,TA
829,None,Gd,TA,No,Unf,Unf,SBrkr,,Detchd,RFn,TA,TA
830,BrkFace,TA,TA,No,Rec,Unf,FuseA,Gd,Attchd,RFn,TA,TA
831,None,Gd,TA,No,Unf,Unf,SBrkr,,Detchd,RFn,TA,TA
832,BrkFace,Gd,TA,No,GLQ,Unf,SBrkr,TA,Attchd,RFn,TA,TA
833,BrkFace,TA,TA,No,Rec,BLQ,SBrkr,,Attchd,RFn,TA,TA
834,BrkFace,TA,TA,No,Rec,Unf,SBrkr,,Attchd,Unf,TA,TA
835,None,Gd,TA,No,BLQ,Unf,SBrkr,,Attchd,Unf,TA,TA
836,None,TA,TA,No,Rec,Unf,SBrkr,,Detchd,Unf,TA,TA
837,BrkFace,TA,TA,No,BLQ,Unf,SBrkr,,Detchd,Unf,TA,TA
838,None,Gd,TA,No,Unf,Unf,SBrkr,,Attchd,Unf,TA,TA
839,None,TA,TA,No,BLQ,Unf,SBrkr,,Detchd,Unf,TA,TA
840,None,TA,TA,No,BLQ,Unf,SBrkr,,Detchd,Unf,TA,TA
841,None,TA,TA,No,Unf,Unf,SBrkr,Po,Detchd,Unf,Gd,TA
842,BrkFace,TA,TA,Gd,Rec,ALQ,SBrkr,,Attchd,RFn,Gd,Gd
843,None,TA,TA,No,Unf,Unf,SBrkr,,,,,
844,None,TA,TA,Mn,Unf,Unf,SBrkr,Gd,Detchd,Unf,TA,TA
845,None,Gd,TA,Gd,ALQ,Unf,SBrkr,TA,Basment,Fin,TA,TA
846,BrkFace,Gd,TA,No,ALQ,Unf,SBrkr,TA,Attchd,Unf,TA,TA
847,None,TA,TA,Av,BLQ,Unf,SBrkr,Fa,Attchd,Unf,TA,TA
848,None,TA,TA,No,Unf,Unf,SBrkr,Gd,Detchd,Unf,Fa,TA
849,BrkFace,TA,TA,No,Unf,Unf,SBrkr,TA,Attchd,RFn,TA,TA
850,BrkFace,Gd,TA,Av,GLQ,Unf,SBrkr,,Attchd,Fin,TA,TA
851,BrkFace,Gd,TA,Gd,Unf,Unf,SBrkr,TA,Attchd,Fin,TA,TA
852,None,TA,TA,No,Rec,Unf,SBrkr,Gd,Detchd,Unf,TA,TA
853,BrkFace,TA,TA,Gd,Rec,Unf,SBrkr,Fa,Attchd,RFn,TA,TA
854,None,TA,TA,Mn,ALQ,Rec,SBrkr,Gd,Attchd,Unf,TA,TA
855,None,TA,TA,No,ALQ,Unf,SBrkr,,Detchd,Unf,TA,TA
856,None,Gd,Gd,Gd,GLQ,LwQ,SBrkr,,Detchd,Unf,TA,Fa
857,None,Gd,TA,No,Unf,Unf,SBrkr,TA,Attchd,Fin,TA,TA
858,BrkFace,Gd,TA,No,Unf,Unf,SBrkr,TA,Attchd,RFn,TA,TA
859,BrkFace,TA,TA,Mn,BLQ,Unf,SBrkr,Gd,Attchd,Unf,TA,TA
860,None,TA,TA,No,Unf,Unf,SBrkr,Gd,Detchd,Unf,TA,TA
861,None,TA,TA,Mn,BLQ,Unf,SBrkr,,Attchd,Unf,TA,TA
862,None,Gd,TA,No,GLQ,Unf,SBrkr,,Attchd,Unf,TA,TA
863,None,TA,TA,No,BLQ,Unf,SBrkr,,Attchd,Unf,TA,TA
864,None,Ex,TA,No,Unf,Unf,SBrkr,,Attchd,Fin,TA,TA
865,BrkFace,TA,TA,No,BLQ,Unf,SBrkr,,Detchd,Unf,TA,TA
866,Stone,Gd,TA,Av,Unf,Unf,SBrkr,Gd,Attchd,RFn,TA,TA
867,None,TA,TA,No,ALQ,Unf,SBrkr,,Attchd,RFn,TA,TA
868,None,,,,,,SBrkr,TA,Attchd,Unf,TA,TA
869,BrkFace,Gd,TA,No,GLQ,Unf,SBrkr,TA,Attchd,Fin,TA,TA
870,None,TA,TA,No,Unf,Unf,SBrkr,,Detchd,Unf,TA,TA
871,BrkFace,Gd,TA,No,GLQ,Unf,SBrkr,,Attchd,RFn,TA,TA
872,None,TA,TA,Av,Unf,Unf,SBrkr,,Attchd,Unf,TA,TA
873,None,TA,TA,No,Rec,Unf,SBrkr,Gd,Attchd,Unf,TA,TA
874,None,TA,TA,No,Unf,Unf,SBrkr,,Detchd,Unf,TA,TA
875,None,Gd,TA,Av,GLQ,Unf,SBrkr,Gd,BuiltIn,Fin,TA,TA
876,None,TA,TA,Gd,ALQ,Unf,SBrkr,,Attchd,Unf,TA,TA
877,Stone,Ex,TA,No,GLQ,Unf,SBrkr,Gd,Attchd,Fin,TA,TA
878,None,TA,TA,Av,ALQ,Unf,SBrkr,,Detchd,Unf,TA,TA
879,BrkFace,TA,TA,No,ALQ,Unf,SBrkr,,Attchd,Unf,TA,TA
880,None,Ex,Gd,No,ALQ,Unf,SBrkr,,Attchd,Fin,TA,TA
881,BrkFace,Gd,TA,Mn,LwQ,Unf,SBrkr,TA,Attchd,RFn,TA,TA
882,None,Gd,TA,No,Unf,Unf,SBrkr,TA,BuiltIn,RFn,TA,TA
883,None,TA,Fa,No,Unf,Unf,SBrkr,,Detchd,Unf,TA,Gd
884,BrkFace,TA,TA,No,BLQ,Unf,SBrkr,,Attchd,RFn,TA,TA
885,BrkFace,Ex,TA,Av,GLQ,Unf,SBrkr,TA,Attchd,Fin,TA,TA
886,BrkFace,TA,TA,No,LwQ,Unf,SBrkr,,Attchd,Fin,TA,TA
887,None,TA,TA,No,Unf,Unf,SBrkr,,Attchd,Unf,TA,TA
888,None,TA,Gd,Gd,ALQ,Rec,SBrkr,TA,Attchd,Unf,TA,TA
889,BrkFace,TA,TA,No,BLQ,Unf,SBrkr,TA,Attchd,RFn,TA,TA
890,None,TA,TA,Mn,Unf,Unf,SBrkr,Po,Detchd,Unf,TA,TA
891,BrkFace,TA,TA,No,LwQ,Rec,SBrkr,TA,Attchd,RFn,TA,TA
892,None,TA,TA,No,GLQ,Unf,SBrkr,,Attchd,RFn,TA,TA
893,None,Gd,TA,Mn,BLQ,Unf,SBrkr,Gd,Attchd,Unf,TA,TA
894,None,,,,,,SBrkr,,Attchd,Unf,TA,TA
895,BrkFace,TA,TA,No,BLQ,Unf,SBrkr,TA,Attchd,RFn,TA,TA
896,None,TA,TA,No,ALQ,Unf,SBrkr,,Detchd,Unf,TA,TA
897,None,,,,,,SBrkr,,Detchd,Unf,TA,TA
898,Stone,Ex,TA,Gd,GLQ,Unf,SBrkr,Gd,Attchd,Fin,TA,TA
899,None,TA,TA,No,BLQ,Unf,SBrkr,TA,Attchd,Unf,TA,TA
900,None,TA,TA,No,ALQ,Unf,SBrkr,,Detchd,Unf,TA,TA
901,None,TA,TA,Mn,BLQ,Unf,SBrkr,,Detchd,Unf,TA,TA
902,None,Gd,TA,No,Unf,Unf,SBrkr,Gd,Attchd,Fin,TA,TA
903,BrkFace,Gd,TA,No,Unf,Unf,SBrkr,Gd,Attchd,RFn,TA,TA
904,BrkFace,TA,TA,No,GLQ,Unf,SBrkr,,Attchd,Unf,TA,TA
905,Stone,TA,TA,No,Rec,LwQ,SBrkr,,Attchd,RFn,TA,TA
